Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,941.9199304543,1061.6604390078,1307.396412792,1565.6486354791,1784.415123139,2000.7520716673,2255.3691042915,2595.0242742144,3070.4393606087,3806.14955427,4512.5396795218,5415.8478095671,6025.8476775555,6325.2409048394,6575.4806674828,6680.3757524205,7037.9389382805,7514.4835470624,7230.3206822252,7702.6704006853,8027.6308251114,8355.6183359154,8572.3733293846,10144.4131381116,9855.5381212807,10077.5443493079,10496.8203536397,11076.063615527,12135.5410292779,13675.0852387123,15276.1263610095,15787.0321551208,13977.9408609073,13017.4997484387,12785.1556066458,13406.1690832284,13668.9448241374
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1810.837193205,1878.257644835,1854.7610924879,1967.3210937017,2131.5785295785,2281.1971411041,2343.6107922369,2579.8914207419,2723.7197069533,2991.2418888718,3304.5891209871,3494.8001710574,3948.9297054695,4769.6610869005,6482.5088841969,7001.9749369263,7484.2044767269,7773.3954008772,8250.324191982,9291.6198802346,10206.7560690941,11849.9994216989,12784.7690723871,11533.3441543307,12454.5517172396,11457.7679431781,11393.4535580669,11665.0229368813,14331.091816881,17894.2475346295,18247.3945613005,18837.1892754261,18599.0011714271,17658.0794412451,18080.6975287398,20375.3017498037,21931.0614472639,23536.6834905944,21352.3148701425,20546.7427130954,21678.4936778334,19504.5725454121,20071.966131923,23455.8423724395,30464.0037639423,34011.7386356693,36113.0023997107,40996.3179093863,49672.7480091904,42721.8849384517,51824.7984202038,62080.9824161734,67435.9544327421,67468.0687051617
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,935.4604268504,1031.8150043291,1087.8342434189,1167.0005324459,1269.4125828926,1374.5321398608,1486.9686060057,1569.6671828997,1677.6735280427,1825.3861255212,2037.61667299,2356.5155583261,2894.0063184686,3850.7480129442,4583.1794303375,5231.3146819257,5620.0452007749,6740.6533038168,8121.1634874353,9693.1412419331,10757.8694612261,9288.8221697182,9313.6625130246,9439.4172566865,8898.6881864331,9077.8599079374,12948.6533088327,16224.3453533743,17398.0109578617,17289.4650220262,21458.2327210484,22180.6553471394,24624.537839889,23834.1070003374,25383.1988078442,30014.2727535818,29485.6082075795,26082.4585078064,26743.7919407516,26563.2095389091,23974.1830690696,23833.8342435144,25679.0943977121,31268.6306973177,35662.211822391,37067.3238286743,39299.6225118445,45181.4985135929,49679.1317179272,45872.1980491741,45016.7038500331,49485.4821948131,46792.1656876343,49053.8229044861
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.324491677,1209.2374928496,676.1515114525,530.0903798068,436.190558582,397.1981161172,409.2167452168,505.5605732289,561.9103017355,573.8902561721,655.0974326026,703.6712504399,763.1012122204,883.614008968,1045.0264152764,1578.3673303067,2472.9974757941,3851.4378687117,5574.6038021861,4950.2947914238,5842.8057835858,7189.6912292077,7393.7718769762,7811.7898188877
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,70.3330736847,71.4694335501,73.760327793,78.8741609196,86.5716238047,51.6379367565,52.4574885177,55.112906876,55.2253855905,56.0591138522,70.2125072072,72.0842713833,69.5746444665,84.9411349732,95.2752739525,114.4921667381,119.7466787861,143.1306096512,155.7582330057,194.7068055523,222.8809395834,228.5597927887,232.4235223004,241.3508509511,213.4434481479,240.8759844985,243.4790645403,221.5647958677,204.9682729009,204.4145409951,201.9491437851,203.0338024322,184.1061989995,156.3422533921,151.3355105753,161.1015779019,138.0628074426,152.7412069719,138.619149063,123.4596667497,130.4238484623,128.1980582765,117.2814012765,108.0145510264,121.8593035826,143.7835294668,158.3050232019,162.8275093589,186.8717488696,194.8966661302,219.5297994508,246.9143271069,251.0145177984,267.4758992408
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,1273.6916591029,1350.1976733312,1438.5232330684,1535.0237290104,1701.8462755432,1835.5947655319,1957.6260804276,2086.6360054465,2222.3615105191,2458.0818200377,2732.2242251039,3045.4021631267,3784.9927682972,4841.3070636401,5664.0056568113,6619.8073016047,7154.8840715802,8324.373083973,10164.5199895328,11666.8555677972,12707.420266708,10493.5003639605,9230.1264807913,8738.5567750814,8354.3258243494,8644.302473343,12021.9054128857,14951.6167505913,16191.579347494,16323.916634057,20349.6248728198,20785.5388830787,23088.1246456956,22012.6931188166,23913.8852430752,28067.9697425056,27154.3368805058,24532.026923492,25051.3399582643,24886.8656637976,22697.0123033035,22600.9161499186,24465.3335045586,30039.0922372354,34706.6939010393,36011.4694012925,37918.7811313913,43255.424884211,47374.4681641277,43834.0809504005,43150.7843139296,46463.6037818862,43395.6989817108,45387.1755309948
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,93.0225850447,95.5669219953,94.4518743402,99.8404446956,104.3237589795,110.1326111593,112.9735470677,112.0276402654,117.0224628357,116.188506374,114.7366635098,112.7455181734,135.0086718433,162.1749430848,174.1707255236,207.4405897248,208.7604400679,218.5292906202,263.6310780855,327.8231499567,377.9566360878,337.7945067764,322.4788072842,270.7670925572,252.4356597776,243.9115094751,302.6655703499,343.6791652692,345.8092649755,310.6327258131,391.893446788,383.2953623427,315.2182868168,407.4501880615,276.1591210658,362.4709494428,382.2854406361,356.5782604885,375.0241065123,369.2449748061,339.4730256933,348.334549532,378.6587084342,464.0461430468,511.2929788674,532.6109982543,557.2324469051,632.3608695914,739.2561276265,712.6165269865,689.6483313442,745.9154748023,750.5131242448,804.6728915596
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,68.4247056865,71.5582088992,76.5206109722,78.3721024896,80.4727076056,81.7251198708,82.5456246241,84.3631361909,84.7330328292,86.5202176683,81.4999312054,84.2878271086,99.326787337,113.7804651717,124.358933745,152.7281454003,155.6489365721,176.7832500912,225.9415576199,262.075837239,282.6857854393,254.2308043009,245.0946288901,217.9946708569,193.8431596312,200.8942645012,256.7624456661,291.1317961184,313.0618338525,304.8532726525,351.9792491108,346.4104319745,240.9633995113,244.1271501741,193.0702423734,235.8322318149,249.3646790537,229.5052256532,255.7389050376,267.2115822088,224.9286470894,235.4617988865,260.6935797372,332.227075619,371.2179868225,406.9988043283,422.8448174644,474.5899781208,569.6392934258,553.0423742614,592.6074699206,649.9252299864,651.6533150969,683.9484017731
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,86.2967322307,94.5485569834,96.9675358594,98.6743467232,97.0405528222,103.262133034,109.0920987259,118.9762399565,118.9600629139,130.8870764698,135.6187021663,129.411780911,91.4919170871,115.6546162458,175.7720078273,268.3990518588,136.3609353541,126.9433183354,170.479191066,194.2375003338,219.5756084756,233.1521943595,207.7518847738,191.9000331531,214.2618274657,229.2263542991,218.4812139334,239.0643871461,251.0324273155,256.0164920616,280.5656162825,281.5987649331,282.0296248803,288.661786789,287.7124272363,316.5085868936,332.2362578216,338.6985621487,345.8759386654,351.5825910384,355.9734341205,348.7568928875,347.2186123046,372.9805203616,400.4724749226,421.1233113733,427.2911669779,467.1363613524,537.6384971265,597.6909532271,664.0846048884,732.0674890973,750.0799563556,829.2514892324
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,2261.4172835572,2255.7612579738,2220.8231834458,1897.078563947,1943.0626103064,1959.9387782718,2261.7577129916,3168.8651246673,2561.1087047555,2449.8008334407,2377.3357862653,1267.734414415,1214.4849325443,1278.5173915088,1149.3779925494,1554.7217229288,1063.0756609899,1209.5027441159,1581.8245741278,1611.1290038691,1579.348239558,1729.1911568611,2030.7885234221,2641.7877231345,3249.2873963735,3733.263160997,4313.4306364364,5581.4141324385,6916.8462796878,6524.1568793685,6453.3752764539,7286.3895924645,7022.23458913,7296.4901241056
