Name,Institution,Country
"RENWICK, James A.",National Institute of Water and Atmospheric Research,New Zealand
"RIEBESELL, Ulf",Leibniz Institute for MarineSciences,Germany
"RIGNOT, Eric",National Aeronautics and Space Administration (NASA),USA
"RIGOR, Ignatius",University of Washington,USA
"RIND, David",National Aeronautics and Space Administration (NASA),USA
"RINKE, Annette",Alfred Wegener Institute for Polar and Marine Research,Germany
"RINTOUL, Stephen",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"RIXEN, Michel",University of Liege,Belgium
"RIZZOLI, Paola",Massachusetts Institute of Technology,USA
"ROBERTS, Malcolm",Met Office,United Kingdom
"ROBERTSON, Franklin R.",National Aeronautics and Space Administration (NASA),USA
"ROBINSON, David",Rutgers University,USA
"RODENBECK, Christian",Max-Planck Institute for Biogeochemistry,Germany
"ROECKNER, Erich",Max-Planck Institute for Meteorology,Germany
"ROSATI, Anthony",National Oceanographic and Atmospheric Administration (NOAA),USA
"ROSENLOF, Karen",National Oceanographic and Atmospheric Administration (NOAA),USA
"ROTHROCK, David",University of Washington,USA
"ROTSTAYN, Leon D.",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"ROULET, Nigel",McGill University,Canada
"RUMMUKAINEN, Markku",Swedish Meteorological and Hydrological Institute,Sweden
"RUSSELL, Gary L.",National Aeronautics and Space Administration (NASA),USA
"RUSTICUCCI, Matilde",Universidad de Buenos Aires,Argentina
"SABINE, Christopher",National Oceanographic and Atmospheric Administration (NOAA),USA
"SAHAGIAN, Dork",Lehigh University,USA
"SALAS Y MÉLIA, David",Météo-France,France
"SANTER, Benjamin D.",Lawrence Livermore National Laboratory,USA
"SARR, Abdoulaye",Service Météorologique,Senegal
"SAUSEN, Robert",Deutsches Zentrum fur Luft und Raumfahrt,Germany
"SCHAR, Christoph",ETH Zurich,Switzerland
"SCHERRER, Simon Christian",Federal Office of Meteorology and Climatology Meteo-Swiss,Switzerland
"SCHMIDT, Gavin",National Aeronautics and Space Administration (NASA),USA
"SCHMITTNER, Andreas",Oregon State University,USA
"SCHNEIDER, Birgit",Leibniz Institute for MarineSciences,Germany
"SCHOTT, Friedrich",Leibniz Institute for MarineSciences,Germany
"SCHULTZ, Martin G.",Max-Planck Institute for Meteorology,Germany
"SCHULZ, Michael",Institut Pierre Simon Laplace (IPSL),France
"SCHWARTZ, Stephen E.",Brookhaven National Laboratory,USA
"SCHWARTZKOPF, Dan",National Oceanographic and Atmospheric Administration (NOAA),USA
"SCINOCCA, John",Environment Canada,Canada
"SEIDOV, Dan",Pennsylvania State University,USA
"SEMAZZI, Frederick H.M.",North Carolina State University,USA
"SENIOR, Catherine A.",Met Office,United Kingdom
"SEXTON, David",Met Office,United Kingdom
"SHEA, Dennis",National Center for Atmospheric Research (NCAR),USA
"SHEPHERD, Andrew",University of Edinburgh,United Kingdom
"SHEPHERD, J. Marshall",University of Georgia,USA
"SHEPHERD, Theodore G.",University of Toronto,Canada
"SHERWOOD, Steven",Yale University,USA
"SHUKLA, Jagadish",George Mason University,USA
"SHUM, C.K.",Ohio State University,USA
"SIEGMUND, Peter",Royal Netherlands Meteorological Institute (KNMI),The Netherlands
"SIMMONDS, Ian H.",University of Melbourne,Australia
"SIMMONS, Adrian",European Centre for Medium-Range Weather Forecasts (ECMWF),United Kingdom
"SIROCKO, Frank",University of Mainz,Germany
"SLATER, Andrew G.",Cooperative Institute for Research in Environmental Sciences (CIRES),USA
"SLINGO, Julia",National Centre for Atmospheric Science,United Kingdom
"SMITH, Doug M.",Met Office,United Kingdom
"SMITH, Sharon",Geological Survey of Canada,Canada
"SODEN, Brian",University of Miami,USA
"SOKOLOV, Andrei",Massachusetts Institute of Technology,USA
"SOLANKI, Sami K.",Max Planck Institute for Solar System Research,Germany
"SOLOMINA, Olga",Russian Federation Academy of Sciences,Russian Federation
"SOLOMON, Susan",National Oceanographic and Atmospheric Administration (NOAA),USA
"SOMERVILLE, Richard",University of California San Diego,USA
"SOMOT, Samuel",Météo-France,France
"SONG, Yuhe",National Aeronautics and Space Administration (NASA),USA
"SPAHNI, Renato",University of Bern,Switzerland
"SRINIVASAN, Jayaraman",Indian Institute of Science,India
"STAINFORTH, David",University of Oxford,United Kingdom
"STAMMER, Detlef",Institut fur Meereskunde Zentrum fur Meeres und Klimaforschung,Germany
"STANIFORTH, Andrew",Met Office,United Kingdom
"STARK, Sheila",Met Office,United Kingdom
"STEFFEN, Will",Cooperative Institute for Research in Environmental Sciences (CIRES),USA
"STENCHIKOV, Georgiy",Rutgers University,USA
"STERN, William",National Oceanographic and Atmospheric Administration (NOAA),USA
"STEVENSON, David S.",University of Edinburgh,United Kingdom
"STOCKER, Thomas F.",University of Bern,Switzerland
"STONE, Daithi A.",University of Oxford,United Kingdom
"STOTT, Lowell D.",University of Southern California,USA
"STOTT, Peter A.",Met Office,United Kingdom
"STOUFFER, Ronald J.",National Oceanographic and Atmospheric Administration (NOAA),USA
"STUBER, Nicola",University of Reading,United Kingdom
"SUDO, Kengo",Nagoya University,Japan
"SUGA, Toshio",Tohoku Gakuin University,Japan
"SUMI, Akimasa",University of Tokyo,Japan
"SUPPIAH, Ramasamy",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"SWEENEY, Colm",Princeton University,USA
"TADROSS, Mark",University of Cape Town,South Africa
"TAKEMURA, Toshihiko",Kyushu University,Japan
"TALLEY, Lynne D.",University of California San Diego,USA
"TAMISIEA, Mark",Harvard-Smithsonian Center for Astrophysics,USA
"TAYLOR, Karl E.",Lawrence Livermore National Laboratory,USA
"TEBALDI, Claudia",National Center for Atmospheric Research (NCAR),USA
"TENG, Haiyan",National Center for Atmospheric Research (NCAR),USA
"TENNANT, Warren",South African Weather Service,South Africa
"TERRAY, Laurent",European Centre for Research and Advanced Training in Scientific Computation,France
"TETT, Simon",Met Office,United Kingdom
"TEXTOR, Christiane",Institut Pierre Simon Laplace (IPSL),France
"THOMAS, Robert H.",EG&G Technical Services Inc.,USA
"THOMPSON, Lonnie",Ohio State University,USA
"THORNCROFT, Chris",State University of New York Albany,USA
"THORNE, Peter",Met Office,United Kingdom
"TIAN, Yuhong",Georgia Institute of Technology,USA
"TRENBERTH, Kevin E.",National Center for Atmospheric Research (NCAR),USA
"TSELIOUDIS, George",National Aeronautics and Space Administration (NASA),USA
"TSIMPLIS, Michael",University of Southampton,United Kingdom
"UNNIKRISHNAN, Alakkat S.",National Institute of Oceanography,India
"UPPALA, Sakari",European Centre for Medium-Range Weather Forecasts (ECMWF),United Kingdom
"VAN DE WAL, Roderik",University of Utrecht,The Netherlands
"VAN DORLAND, Robert",Royal Netherlands Meteorological Institute (KNMI),The Netherlands
"VAN NOIJE, Twan",Royal Netherlands Meteorological Institute (KNMI),The Netherlands
"VAUGHAN, David",British Antarctic Survey,United Kingdom
"VILLALBA, Ricardo","Instituto Argentino de Nivología,Glaciología y Ciencias Ambientales",Argentina
"VOLODIN, Evgeny M.",Russian Federation Academy of Sciences,Russian Federation
"VOSE, Russell",National Oceanographic and Atmospheric Administration (NOAA),USA
"WAELBROECK, Claire",Institut Pierre Simon Laplace (IPSL),France
"WALSH, John E.",University of Alaska,USA
"WANG, Bin",Chinese Academy of Sciences,China
"WANG, Minghuai",University of Michigan,USA
"WANG, Ray",Georgia Institute of Technology,USA
"WANNINKHOF, Rik",National Oceanographic and Atmospheric Administration (NOAA),USA
"WARREN, Stephen",University of Washington,USA
"WASHINGTON, Richard",University of Oxford,United Kingdom
"WATTERSON, Ian G.",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"WEAVER, Andrew J.",University of Victoria,Canada
"WEBB, Mark",Met Office,United Kingdom
"WEISHEIMER, Antje",European Centre for Medium-Range Weather Forecasts (ECMWF),United Kingdom
"WEISS, Ray",University of California San Diego,USA
"WHEELER, Matthew",Bureau of Meteorology,Australia
"WHETTON, Penny",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"WHORF, Tim",University of California San Diego,USA
"WIDMANN, Martin",GKSS Research Centre,Germany
"WIELICKI, Bruce",National Aeronautics and Space Administration (NASA),USA
"WIGLEY, Tom M.L.",National Center for Atmospheric Research (NCAR),USA
"WILBY, Robert",Environment Agency of England and Wales,United Kingdom
"WILD, Martin",ETH Zurich,Switzerland
"WILD, Oliver",Frontier Research Center for Global Change,Japan
"WILES, Gregory",College of Wooster,USA
"WILLEBRAND, Jurgen",Leibniz Institute for MarineSciences,Germany
"WILLIS, Josh",National Aeronautics and Space Administration (NASA),USA
"WOFSY, Steven C.",Harvard University,USA
