Name,Institution,Country
"ROMANI, Mattia",Grantham Research Institute on Climate Change and the Environment,United Kingdom / Italy
"ROY, Joyashree",Jadavpur University,India
"RUDNICK, Hugh",Pontificia Universidad Católica de Chile,Chile
"SANOGO, Oumar",Institut de Recherche en Sciences Appliquées et Technologies (IRSAT),Burkina Faso
"SANTAMOURIS, Matheos",National and Kapodistrian University of Athens,Greece
"SANYAL, Subir K.","GeothermEx, Inc.",United States of America
"SATHAYE, Jayant",Lawrence Berkeley National Laboratory,United States of America
"SAVOLAINEN, Ilkka",VTT Technical Research Centre of Finland,Finland
"SAWIN, Janet L.",Worldwatch Institute,United States of America
"SCHAEFFER, Roberto",Universidade Federal do Rio de Janeiro (UFRJ),Brazil
,,
"SCHEI, Tormod A.",Statkraft AS,Norway
"SCHIMSCHAR, Sven",Ecofys,Germany
"SCHLAEPFER, August",University of Flensburg,Germany / Australia
"SCHLÖMER, Steffen",IPCC WGIII TSU,Germany
"SCHMID, Jürgen",Fraunhofer Institute for Windenergy and Energy System Technology (IWES),Germany
"SCHRECK, Scott",National Renewable Energy Laboratory (NREL),USA
"SCRÅMESTØ, Sandvik Ø.",Statkraft AS,Norway
"SEELOS, Karin",Statkraft AS,Norway
"SEYBOTH, Kristin",IPCC WGIII TSU,Germany / United States of America
"SHMAKIN, Andrey B.",Institute of Geography,Russia
"SIMS, Ralph E. H.",Massey University,New Zealand
,,
"SINDEN, Graham",The Carbon Trust Ltd,United Kingdom / Australia
"SKEA, Jim",UK Energy Research Centre (UKERC),United Kingdom
"SMITH, Charles",Utility Wind Integration Group (UWIG),United States of America
"SMITH, Paul",University College Dublin,Ireland
"SÖDER, Lennart",KTH Royal Institute of Technology,Sweden
"SOKONA, Youba",United Nations Economic Commission for Africa (UNECA),Ethiopia / Mali
"STECKEL, Jan",Potsdam Institute for Climate Impact Research (PIK),Germany
"STEIN, Wesley H.",The Commonwealth Scientific and Industrial Research Organisation (CSIRO),Australia
"STERNER, Michael",Fraunhofer Institute for Windenergy and Energy System Technology (IWES),Germany
"STRATTON, Russell",Massachusetts Institute of Technology (MIT),United States of America
"STRUNZ, Kai",Technische Universität Berlin,Germany
,,
"TAMAURA, Yutaka",Tokyo Institute of Technology,Japan
"TEKLEMARIAM ZEMEDKUN, Meseret",Consultant,Ethiopia
"TESKE, Sven",Greenpeace,Germany
"TESTER, Jefferson W.",Massachusetts Institute of Technology (MIT),United States of America
"TORRES-MARTINEZ, Julio",Cubasolar,Cuba
"TRINDADE, Sergio C.","SE2T International, Ltd.","United States of America / Brazil, USA"
"TRUFFER, Bernhard",Swiss Federal Institute of Aquatic Science and Technology (Eawag),Switzerland
