Chapter,Title,Role,Name,Institution,Citizenship,Affiliation Country
Technical Summary,,Lead Author,Eswaran Somanathan,"Indian Statistical Institute, Delhi",India,India
Technical Summary,,Lead Author,Robert Stavins,Harvard University,United States,United States
Technical Summary,,Lead Author,Thomas Sterner,"Uni of Gothenburg, Environmental Defense Fund in New York",Sweden,Sweden
Technical Summary,,Lead Author,Taishi Sugiyama,Central Research Institute of Electric Power Industry (CRIEPI),Japan,Japan
Technical Summary,,Lead Author,Sangwon Suh,University of California,South Korea,United States
Technical Summary,,Lead Author,Kevin Urama,African Technology Policy Studies (ATPS) Network,Nigeria,Kenya
Technical Summary,,Lead Author,Diana Ürge-Vorsatz,Central European University,Hungary,Hungary
Technical Summary,,Lead Author,Anthony Venables,University of Oxford,United Kingdom,United Kingdom
Technical Summary,,Lead Author,David Victor,"University of California, San Diego",United States,United States
Technical Summary,,Lead Author,Elke Weber,Columbia University,United States,United States
Technical Summary,,Lead Author,Dadi Zhou,"Energy Research Institute, National Development and Reform Commission, China",China,China
Technical Summary,,Lead Author,Ji Zou,National Center for Climate Change Strategy and International Cooperation ,China,China
Technical Summary,,Lead Author,Timm Zwickel,IPCC WGIII,Germany,Germany
Technical Summary,,Lead Author,Christoph von Stechow,IPCC WGIII,Germany,Germany
,,,,,,
Technical Summary,,Review Editor,Tomás Hernández-Tejeda,INIFAP-SAGARPA,Mexico,Mexico
Technical Summary,,Review Editor,Roberta Quadrelli,International Energy Agency,Italy,France
,,,,,,
Technical Summary,,Contributing Author,Adolf Acquaye,,Ghana,
Technical Summary,,Contributing Author,Kornelis Blok,,Netherlands,
Technical Summary,,Contributing Author,Gabriel Chan,,United States,
Technical Summary,,Contributing Author,Jan Fuglestvedt,,Norway,
Technical Summary,,Contributing Author,Edgar Hertwich,,Austria,
Technical Summary,,Contributing Author,Elmar Kriegler,,Germany,
Technical Summary,,Contributing Author,Oliver Lah,,Germany,
Technical Summary,,Contributing Author,Sevastianos Mirasgedis,,Greece,
Technical Summary,,Contributing Author,Carmenza Robledo Abad,,Colombia,
Technical Summary,,Contributing Author,Claudia Sheinbaum,,Mexico,
Technical Summary,,Contributing Author,Steven J. Smith,,United States,
Technical Summary,,Contributing Author,Detlef P. van Vuuren,,Netherlands,
