Name,Institution,Country
"PORTER, John R.",The University of Copenhagen,Denmark
"POULTER, Benjamin",Montana State University,USA
"PRICE, Lynn",Lawrence Berkeley National Laboratory,USA
"PYKE, Christopher",US Green Building Council,USA
"QUADRELLI, Roberta",International Energy Agency,France
"RADEBACH, Alexander",MCC Institute,Germany
"RAM BHANDARY, Rishikesh",Tufts University,USA
"RAMAKRISHNA, Kilaparti",UNESCAP,Republic of Korea
"RAMASWAMI, Anu (Anuradha)",University of Minnesota (UMN),USA
"RASCH, Philip",Pacific Northwest National Lab,USA
"RAUSCHER, Michael",Universität Rostock,Germany
"RAVINDRANATH, Nijavalli H.",Indian Institute of Science,India
"RIAHI, Keywan",International Institute for Applied Systems Analysis (IIASA),Austria
"RICE, Charles W.",Kansas State University,USA
"RICE, Jake",Ecosystem Sciences Branch,Canada
"RICHELS, Richard",Electric Power Research Institute,USA
"ROBLEDO ABAD, Carmenza",Helvetas Swiss Intercooperation,Switzerland
"ROGELJ, Joeri",Swiss Federal Institute of Technology (ETH),Switzerland
"ROGER, Charles",The University of British Columbia,Canada
"ROGNER, H.-Holger",International Institute for Applied Systems Analysis (IIASA),Austria
"ROGNER, Mathis",International Institute for Applied Systems Analysis (IIASA),Austria
"ROMANOVSKAYA, Anna",Russian Hydrometeoservice and Russian Academy of Sciences,Russian Federation
"ROSE, Steven",Electric Power Research Institute,USA
"ROY, Joyashree",Jadavpur University,India
"RUTH, Matthias",Northeastern University,USA
"SAGAR, Ambuj",Indian Institute of Technology Delhi,India
"SALAT, Serge",CSTB,France
"SALVATORE, Joseph",Bloomberg New Energy Finance,UK
"SANTALLA, Estela",Universidad Nacional del Centro de la Provincia de Buenos Aires,Argentina
"SARQUILLA, Lindsey","University of California, Santa Barbara",USA
"SATHAYE, Jayant",Lawrence Berkeley National Laboratory,USA
"SAUSEN, Robert",DLR-Institut für Physik der Atmosphäre,Germany
"SCHAEFER, Stefan",Institute for Advanced Sustainability Studies,Germany
"SCHAEFFER, Michiel",Climate Analytics GmbH,USA
"SCHAEFFER, Roberto",Federal University of Rio de Janeiro,Brazil
"SCHAUER, James Jay",University of Wisconsin-Madison,USA
"SCHIPPER, Lee",Stanford University,USA
"SCHLOEMER, Steffen",Potsdam Institute for Climate Impact Research,Germany
"SCHREITTER, Victoria",OECD,France
"SCHROEDER, Heike",University of East Anglia,UK
"SEDLÁCEK, Jan","ETH Zurich, Institute for Atmospheric and Climate Science",Switzerland
"SEROA DA MOTTA, Ronaldo",Environmental Economics at the State University of Rio de Janeiro (UERJ),Brazil
"SETO, Karen",Yale University,USA
"SEYBOTH, Kristin",KMS Research & Consulting LLC,USA
"SHEIKHO, Kamel",King Abdulaziz City for Science and Technology,Saudi Arabia
"SHEINBAUM, Claudia",Universidad Nacional Autonoma de México,Mexico
"SHITTU, Ekundayo",The George Washington University,USA
"SHUKLA, Priyadarshi R.",Indian Institute of Management Ahmedabad,India
"SIMMONS, Cary",Yale University,USA
"SIMS, Ralph",Massey University,New Zealand
"SKEA, Jim",Imperial College London,UK
"SMITH, Pete",University of Aberdeen,UK
"SMITH, Steven J.",Joint Global Change Research Institute,USA
"SOHI, Saran",UK Biochar Research Centre,UK
"SOKKA, Laura",VTT Technical Research Centre of Finland,Finland
"SOKONA, Youba","Co-Chair IPCC WGIII, South Centre",Switzerland
"SOMANATHAN, Eswaran","Indian Statistical Institute, Delhi",India
"SPERLING, Daniel","University of California, Davis",USA
"SPERLING, Frank",African Development Bank,Tunisia
"SPILLER, Elisheba",Environmental Defense Fund,USA
"STADELMANN, Martin",University of Zurich,Switzerland
"STAVINS, Robert",Harvard University,USA
"STECKEL, Jan",MCC Institute,Germany
"STERN, David I.",Australian National University,Australia
"STERNER, Thomas","University of Gothenburg; Environmental Defense Fund, New York",Sweden
"STOCKER, Benjamin","Physics Institute, University of Bern",Switzerland
"STOWE, Robert C.",Harvard University,USA
"STRACHAN, Neil",University College London,UK
"STRØMMAN, Anders",Faculty of Engineering Sciences / Norwegian University of Science and Technology,Norway
"SUE WING, Ian",Boston University,USA
"SUGIYAMA, Taishi",Central Research Institute of Electric Power Industry (CRIEPI),Japan
"SUH, Sangwon",University of California,USA
"SULIMAN, Nadir Mohamed Awad",Private Sector,Sudan
"TACOLI, Cecilia",International Institute for Environment and Development (IIED),UK
"TANAKA, Kanako",Japan Science and Technology Agency (JST),Japan
"TAVONI, Massimo",Fondazione Eni Enrico Mattei (FEEM),Italy
"TENG, Fei",Tsinghua University,China
"THEMELIS, Nikolas",Columbia University,USA
"THØGERSEN, John",Aarhus University,Denmark
"TIWARI, Geetam",Indian Institute of Technology,India
"TORRES MARTINEZ, Julio",CUBASOLAR,Cuba
"TOTH, Ferenc L.",International Atomic Energy Agency (IAEA),Austria
"TUBIELLO, Francesco N.",UN Food and Agricultural Organization (FAO),Italy
"UDDIN, Noim",University of New South Wales,Australia
"UPADHYAY, Jigeesha",Indian Institute of Management,India
"URAMA, Kevin",African Technology Policy Studies (ATPS) Network,Kenya
"ÜRGE-VORSATZ, Diana",Central European University,Hungary
"VAN DER MENSBRUGGHE, Dominique",Food and Agriculture Organization of the United Nations,Italy
"VAN DER ZWAAN, Bob","ECN, Columbia University and Johns Hopkins University",Netherlands
"VAN MINNEN, Jelle Gerlof",Netherlands Environmental Assessment Agency (PBL),The Netherlands
"VAN VUUREN, Detlef P.","PBL Netherlands Environmental Assessment Agency / Utrecht University, Department of Geosciences",Netherlands
"VAUGHAN, Naomi",University of East Anglia,UK
"VENABLES, Anthony",University of Oxford,UK
