"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Brunei Darussalam","BRN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","4","2","7","14","4","11","9.5","8.3","9.7","15.2","21.3","22.2","10.3","11.5","19.2","14.8","13","10.7","16.2","11.9","10.6","10","14.6","","",
"Bhutan","BTN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","0","3","1","0","2","2","3","2.3","0","1","1.5","0.5","1.3","1.2","2.8","2.3","5.4","1.9","8.8","3.4","3.2","6.9","4.9","8.3","","",
"Botswana","BWA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","24","14","9","20","17","18","20","28","19","28","39.1","31.6","34.9","38.7","54.9","50.6","60.4","66.5","63.6","48.4","67.1","61.6","57.8","44.9","32.9","49.7","","",
"Sub-Saharan Africa (IFC classification)","CAA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","4","9","9","12","11","5","6","4","3","6.3","3.3","5.6","6.4","4.2","2.6","2.9","4.3","6","6.5","8.5","6.1","3.9","7.8","4","5.5","4.2","","",
"Canada","CAN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","14440","","","","16656","20871","20735","21391","22501","22792","22903","24180","23824","24565","23739.8","23841.8","22780.9","22200.7","22125.4","22701.3","21945.2","22341.5","23553.8","24232.3","25861.6","27205.9","27833.9","28636.7","29016.9","","","","",
"East Asia and the Pacific (IFC classification)","CEA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","7220","","","","6950","7623","7133","9972","10819","10393","10170","10970","12246","12361","12574.7","13142.7","13622","14138.7","14572.3","15514.1","15537.7","16220.8","16944.7","17822.7","18188.5","19319.2","19794.7","20909.8","20275","20227.1","21058","","",
"Europe and Central Asia (IFC classification)","CEU","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","4801","","","","4895","5488","5305","5316","5548","5901","6098","6651","6871","7372","7220","7568.4","7863.9","7983.9","8194.5","8503.8","7949.9","7878.8","8133.9","8674.1","8766.8","9234","9195.6","9334.4","9472.2","9626.8","10018.6","","",
"Channel Islands","CHI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","561","","","","569","673","624","682","745","830","819","835","877","798","888.6","920.3","954.3","991.8","1058.9","1115.1","1159.4","1311.4","1406.4","1464.1","1559.3","1630.4","1741.2","1784.7","1867.8","1867.2","1979.2","","",
"China","CHN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","1100","","","","1943","2911","3146","4619","5411","6285","6186","6956","7566","7821","9061.4","10526.1","12171.6","13781.3","15714.7","18478.7","21134.1","23269.1","28767.9","34845.6","41603.6","49575.1","56811.2","65300.5","74034.4","79991.3","89894.4","","",
"Cote d'Ivoire","CIV","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","46","42","32","26","34","36","37","32","47","39.9","31.1","40","53.9","47.9","48.7","45","36.2","52.6","41.6","39.4","41.1","37.4","38.9","56","46.1","44.4","","",
"Latin America and the Caribbean (IFC classification)","CLA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East and North Africa (IFC classification)","CME","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","15","22","35","41","46","54","58","75","84","66","60.5","83.3","74.2","70.6","73.3","76.1","107.4","120.4","126.8","130.9","151.2","154.2","161.1","145.1","149.5","159.2","","",
"Congo, Rep.","COG","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","15","18","14","17","15","14","18","8","10","5.8","9.9","7.6","11.9","12.5","9.2","4.9","9.8","13.8","16.5","18.9","20.8","20.9","16.7","17.7","18.4","16","","",
